,Brand,Model,Mileage,Year,Price,Price Drop
286,Honda,Accord,119588,2018,21995,FALSE
287,Nissan,Rogue,20973,2019,24495,FALSE
288,BMW,X3,150530,2011,9995,FALSE
289,Mercedes-Benz,GLS,20000,2019,63901,FALSE
290,Dodge,Grand Caravan,53542,2020,25097,FALSE
291,Jeep,Cherokee,16000,2019,28460,FALSE
292,Subaru,Forester,20144,2019,28998,FALSE
293,Alfa Romeo,Stelvio,24098,2018,34493,FALSE
294,Subaru,Forester,25991,2019,31889,FALSE
295,Mercedes-Benz,GLE,53961,2020,54901,FALSE
296,Bentley,Flying Spur,3096,2020,262500,FALSE
297,Volvo,XC90,26298,2018,43993,FALSE
298,Ram,1500,188258,2012,9156,FALSE
299,Mercedes-Benz,GLS,34575,2019,61901,FALSE
300,Honda,CR-V,116861,2013,10995,FALSE
301,Lexus,RX,17254,2018,38569,FALSE
302,Nissan,Rogue,25453,2018,23998,FALSE
303,Mercedes-Benz,M-Class,104621,2015,15995,FALSE
304,Hyundai,Elantra,101087,2013,8498,FALSE
305,Mercedes-Benz,CL,90582,2009,17995,FALSE
306,Volvo,XC60,30664,2018,38094,FALSE
307,INFINITI,Q50,42656,2019,31497,FALSE
308,HUMMER,H3,164427,2008,8395,FALSE
309,Ford,F-150,169621,2013,15990,FALSE
310,BMW,6 Series,70413,2012,24995,FALSE
311,BMW,5 Series,67265,2018,29452,FALSE
312,Kia,Forte,21769,2019,19995,FALSE
313,Chevrolet,Malibu,29977,2020,18870,FALSE
314,Ford,F-150,21071,2019,37890,FALSE
315,Porsche,Panamera,22168,2018,85995,FALSE
316,Chevrolet,Equinox,49043,2020,24397,FALSE
317,Aston Martin,DB11,29067,2019,179500,FALSE
318,Honda,Civic,38382,2018,18942,FALSE
319,Toyota,Highlander,63994,2019,32900,FALSE
320,Mercedes-Benz,C-Class,45531,2015,23986,FALSE
321,Bentley,Continental Supersports,10866,2018,239995,FALSE
322,Ford,Edge,50247,2020,25197,FALSE
323,Toyota,Corolla,42705,2019,19942,FALSE
324,Mercedes-Benz,C-Class,71695,2018,22952,FALSE
325,Toyota,Tacoma,58835,2017,25986,FALSE
326,INFINITI,Q50,26593,2019,29945,FALSE
327,Mercedes-Benz,GLC,27357,2019,41901,FALSE
328,Mercedes-Benz,GLS,46207,2019,60901,FALSE
329,Porsche,Macan,38427,2018,52995,FALSE
330,BMW,4 Series,6699,2021,64995,FALSE
331,Lexus,ES,24124,2019,36869,FALSE
332,Mercedes-Benz,C-Class,30990,2019,38901,FALSE
333,Mercedes-Benz,E-Class,59628,2012,20995,FALSE
334,Toyota,Camry,266984,2007,2499,FALSE
335,Nissan,Rogue,131447,2013,4299,FALSE
336,Nissan,Sentra,36829,2019,20998,FALSE
337,Chevrolet,Equinox,30911,2019,28995,FALSE
338,Mazda,CX-5,43900,2020,25197,FALSE
339,Audi,Q7,33789,2019,47886,FALSE
340,Lexus,RX,27629,2019,38148,FALSE
341,Mercedes-Benz,GLB,9994,2021,44735,FALSE
342,Kia,Sorento,39366,2020,24997,FALSE
343,Mercedes-Benz,Metris Cargo Van,125827,2016,18950,FALSE
344,Toyota,Highlander,42769,2018,31990,FALSE
345,Porsche,911,11556,2016,105995,FALSE
346,Porsche,Panamera,21469,2018,119995,FALSE
347,Chevrolet,Trax,99125,2017,9999,FALSE
348,Audi,Q5,27679,2018,36886,FALSE
349,BMW,X2,106955,2018,23995,FALSE
350,Volvo,XC60,16076,2019,40995,FALSE
351,Nissan,Altima,81272,2019,19995,FALSE
352,Mercedes-Benz,GLB,8749,2021,46495,FALSE
353,Ford,Edge,7756,2020,42862,FALSE
354,Jeep,Grand Cherokee,103820,2015,19942,FALSE
355,Nissan,Sentra,36439,2019,17395,FALSE
356,Mercedes-Benz,E-Class,39384,2019,55686,FALSE
357,Mercedes-Benz,GLC,29547,2018,36901,FALSE
